"","WoSitnu","WoOppnu","WoLastnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","VMsituatie","VMprijs","VMcampus","VMcentrum","VMhuisgenot","VMverplicht","VMander","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_."
"243","Bij ouders",72,NA,"nee","41-60 min.",6,"Zou graag uit huis willen wonen.                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar","wel","0","wel","wel","0","0","0",8,NA,"neutraal","onbelangrijk","neutraal","neutraal","zeer belangrijk","belangrijk","neutraal","past niet","past enigszins","past niet","past niet","past enigszins","man",1996,200,"Human Resource Management","                                                                                                                                                                                                                                                          ",NA
"244","Op kamers (gedeeld gebruik san. en/of keuken)",11,289,"ja","10-20 min.",7,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar","0","wel","0","0","wel","0","0",16,350,"neutraal","neutraal","belangrijk","onbelangrijk","belangrijk","zeer belangrijk","neutraal","past wel","past wel","past niet","past niet","past wel","man",1995,600,"Bedrijfskunde /MER","Nope                                                                                                                                                                                                                                                      ","Selected"
"245","Op kamers (gedeeld gebruik san. en/of keuken)",11,300,"ja","minder dan 10 min.",7,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,350,"onbelangrijk","onbelangrijk","belangrijk","zeer onbelangrijk","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past niet","past niet","past wel","man",1995,700,"Bedrijfskunde /MER","-                                                                                                                                                                                                                                                         ","Selected"
"246","Op kamers (gedeeld gebruik san. en/of keuken)",11,315,"ja","10-20 min.",7,"Beetje klein maar heel dicht bij het station. Niet hele leuke huisgenoten.                                                                                                                                                                                ","ja, over een  half jaar tot een jaar","0","wel","0","0","wel","0","0",16,450,"neutraal","neutraal","belangrijk","onbelangrijk","neutraal","zeer belangrijk","neutraal","past enigszins","past enigszins","past niet","past helemaal niet","past wel","man",1995,1000,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"247","Op kamers (gedeeld gebruik san. en/of keuken)",12,286,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,16,350,"onbelangrijk","onbelangrijk","onbelangrijk","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past wel","past enigszins","past wel","past helemaal niet","past volledig","man",1994,1000,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected"
"248","Op kamers (gedeeld gebruik san. en/of keuken)",12,324,"ja","10-20 min.",6,"De locatie is ideaal, maar het is een ongezellig huis                                                                                                                                                                                                     ","ja, over een  half jaar tot een jaar","0","0","0","0","wel","0","0",12,350,"belangrijk","neutraal","onbelangrijk","zeer onbelangrijk","belangrijk","belangrijk","onbelangrijk","past wel","past niet","past niet","past helemaal niet","past wel","man",1994,1000,"Bedrijfskunde /MER","Nee                                                                                                                                                                                                                                                       ","Selected"
"249","Op kamers (gedeeld gebruik san. en/of keuken)",13,300,"ja","10-20 min.",7,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"belangrijk","onbelangrijk","neutraal","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past wel","past niet","past enigszins","past wel","man",1994,750,"Human Resource Management","                                                                                                                                                                                                                                                          ",NA
"250","Op kamers (gedeeld gebruik san. en/of keuken)",13,350,"ja","10-20 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,12,350,"belangrijk","onbelangrijk","zeer belangrijk","neutraal","zeer belangrijk","onbelangrijk","zeer onbelangrijk","past enigszins","past wel","past niet","past wel","past enigszins","man",1993,1250,"Bedrijfskunde /MER","Vertel hoe je er achter komt in welke onderzoeksgroep je zit                                                                                                                                                                                              ","Selected"
"251","Op kamers (gedeeld gebruik san. en/of keuken)",13,600,"ja","10-20 min.",7,"Ik ben tot nu toe zeer tevreden over mijn kamer. Echter is het niet mijn bedoeling om hier voor de volgende 4 jaar te gaan wonen. Ik wil in de komende paar jaar graag naar iets groters verhuizen                                                        ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,400,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","zeer belangrijk","neutraal","past wel","past niet","past niet","past helemaal niet","past wel","man",1995,600,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"252","Op kamers (gedeeld gebruik san. en/of keuken)",15,400,"ja","minder dan 10 min.",7,"Prima wonen, alleen géén internet momenteel                                                                                                                                                                                                             ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,30,400,"belangrijk","neutraal","onbelangrijk","neutraal","belangrijk","belangrijk","neutraal","past wel","past niet","past enigszins","past niet","past wel","man",1990,1000,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"253","Op kamers (gedeeld gebruik san. en/of keuken)",16,300,"ja","minder dan 10 min.",7,"De prijs is relatief laag, maar de privacy ook                                                                                                                                                                                                            ","ja, binnen half jaar","0","wel","0","wel","wel","0","0",22,350,"neutraal","neutraal","belangrijk","belangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past niet","past niet","past enigszins","man",1996,500,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected"
"254","Op kamers (gedeeld gebruik san. en/of keuken)",16,330,"ja","21-40 min.",3,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar","wel","wel","wel","0","wel","wel","0",20,400,"neutraal","belangrijk","belangrijk","neutraal","belangrijk","zeer belangrijk","zeer belangrijk","past volledig","past enigszins","past wel","past helemaal niet","past enigszins","man",1992,800,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"255","Op kamers (gedeeld gebruik san. en/of keuken)",16,350,"ja","10-20 min.",7,"Prima huis alleen wat oud                                                                                                                                                                                                                                 ","ja, over meer dan 1 jaar","wel","wel","0","0","0","0","0",15,450,"belangrijk","onbelangrijk","neutraal","neutraal","zeer belangrijk","zeer belangrijk","belangrijk","past wel","past enigszins","past enigszins","past enigszins","past enigszins","man",1997,1200,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected"
"256","Op kamers (gedeeld gebruik san. en/of keuken)",16,435,"ja","minder dan 10 min.",8,"Alles is redelijk dichtbij.                                                                                                                                                                                                                               ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,18,435,"zeer belangrijk","belangrijk","neutraal","belangrijk","belangrijk","neutraal","onbelangrijk","past enigszins","past wel","past enigszins","past helemaal niet","past wel","man",1997,1016,"Human Resource Management","Het is niet echt privé als je gaat vragen naar klas en onderzoeksgroep en geboortedatum.                                                                                                                                                                 ","Selected"
"257","Op kamers (gedeeld gebruik san. en/of keuken)",18,350,"ja","minder dan 10 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar","0","wel","0","wel","wel","0","0",15,325,"neutraal","belangrijk","neutraal","neutraal","belangrijk","belangrijk","belangrijk","past wel","past enigszins","past niet","past helemaal niet","past enigszins","man",1994,950,"Human Resource Management","-                                                                                                                                                                                                                                                         ","Selected"
"258","Op kamers (gedeeld gebruik san. en/of keuken)",18,370,"ja","10-20 min.",7,"i heb alles wat ik nodig heb, wel primitief en weinig luxe, verder ben ik blij dat ik met 2 vrienden samen woon                                                                                                                                           ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,16,390,"neutraal","onbelangrijk","neutraal","belangrijk","zeer belangrijk","neutraal","neutraal","past wel","past wel","past wel","past niet","past wel","man",1996,600,"Human Resource Management","Redelijke enquete, de studentenwoning vragen waren soms wat lang en daar wilde ik zo snel mogelijk door heen                                                                                                                                              ","Selected"
