"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"1","Bij ouders",14,"nee","41-60 min.",7,"het is goedkoop en makkelijk wonen bij je ouders maar het is wel elke dag een eind naar school rijden.                                                                                                                                                    ","weet ik  (nog)  niet",15,500,"belangrijk","onbelangrijk","neutraal","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past enigszins","past wel","past niet","3",1997,300,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",20
"2","Bij ouders",NA,"nee","21-40 min.",9,"Ik heb het naar mijn zin thuis en kan mijn hobby ook beoefenen thuis.                                                                                                                                                                                     ","nee, voorlopig niet van pan",50,NA,"zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","onbelangrijk","past helemaal niet","past niet","past helemaal niet","past enigszins","past helemaal niet","vrouw",1998,51,"Logistiek","                                                                                                                                                                                                                                                          ",NA,19
"3","Bij ouders",NA,"nee","61-90 min.",7,"vind het fijn om thuis te wonen, maar heb soms wat meer rust voor mezelf nodig                                                                                                                                                                            ","weet ik  (nog)  niet",20,400,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","belangrijk","past wel","past enigszins","past wel","past enigszins","past enigszins","vrouw",1997,120,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",20
"4","Bij ouders",NA,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",NA,300,"belangrijk","belangrijk","belangrijk","onbelangrijk","neutraal","belangrijk","neutraal","past wel","past wel","past enigszins","past niet","past wel","vrouw",1998,250,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"5","Bij ouders",NA,"ja","10-20 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",30,400,"belangrijk","belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","past niet","past wel","past wel","past wel","past enigszins","vrouw",1998,300,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"6","Bij ouders",NA,"nee","61-90 min.",10,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",45,500,"zeer belangrijk","onbelangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","onbelangrijk","past enigszins","past enigszins","past enigszins","past enigszins","past wel","vrouw",1998,450,"Bedrijfskunde /MER","De vraagstelling kan iets duidelijker                                                                                                                                                                                                                     ","Selected",19
"7","Bij ouders",NA,"nee","langer dan 90 min.",10,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",NA,400,"zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","zeer onbelangrijk","past helemaal niet","past helemaal niet","past niet","past helemaal niet","past helemaal niet","vrouw",1993,630,"Human Resource Management","Ik zie niet in, waarom het relevant is op hoeveel woonoppervlakte ik woon.                                                                                                                                                                                ","Selected",24
"8","Bij ouders",NA,"nee","21-40 min.",8,"thuis wonen is goedkoper                                                                                                                                                                                                                                  ","ja, over meer dan 1 jaar",15,400,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","onbelangrijk","onbelangrijk","past wel","past wel","past enigszins","past wel","past niet","vrouw",1995,500,"Logistiek","goede voorbeelden van studentenkamers                                                                                                                                                                                                                     ","Selected",22
"9","Bij ouders",4,"ja","21-40 min.",8,"Totale reistijd met het lopen naar school erbij, is het ongeveer halfuurtje. Dat is wel te doen                                                                                                                                                           ","nee, voorlopig niet van pan",10,20,"zeer belangrijk","neutraal","neutraal","neutraal","zeer belangrijk","neutraal","onbelangrijk","past enigszins","past enigszins","past wel","past niet","past niet","vrouw",1994,400,"Human Resource Management","Niet handig ivm een google account. Er is daar geen rekening mee gehouden. Niet iedereen heeft een google account, en een enquete via google te hanteren plicht je studenten wel om een account aan te maken.                                             ","Selected",23
"10","Bij ouders",5,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",5,300,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","neutraal","past enigszins","past niet","past wel","past helemaal niet","past helemaal niet","vrouw",1995,400,"Facility Management","-                                                                                                                                                                                                                                                         ","Selected",22
"11","Bij ouders",6,"nee","21-40 min.",7,"Ik heb het prima naar mijn zin thuis. Alleen vind ik het jammer dat er niks te beleven valt in het dorp.                                                                                                                                                  ","nee, voorlopig niet van pan",6,350,"zeer belangrijk","neutraal","neutraal","neutraal","neutraal","neutraal","neutraal","past volledig","past enigszins","past niet","past niet","past enigszins","vrouw",1996,200,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",21
"12","Bij ouders",6,"nee","61-90 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",10,400,"belangrijk","neutraal","neutraal","onbelangrijk","belangrijk","neutraal","belangrijk","past enigszins","past niet","past wel","past enigszins","past enigszins","vrouw",1998,450,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",19
"13","Bij ouders",8,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",15,350,"belangrijk","neutraal","zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","zeer belangrijk","past enigszins","past niet","past wel","past niet","past niet","vrouw",1997,230,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",20
"14","Bij ouders",8,"nee","21-40 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,"zeer belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","onbelangrijk","onbelangrijk","past wel","past niet","past niet","past niet","past niet","vrouw",1997,350,"Logistiek","                                                                                                                                                                                                                                                          ",NA,20
"15","Bij ouders",8,"nee","21-40 min.",10,"Thuis heb ik het goed, ik hoef geen eten te koken, de was niet te doen, stofzuigen. Ik heb thuis alle rust die ik nodig heb.                                                                                                                              ","nee, voorlopig niet van pan",NA,250,"belangrijk","belangrijk","belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","past wel","past enigszins","past volledig","past niet","past niet","vrouw",1996,400,"Human Resource Management","nee                                                                                                                                                                                                                                                       ","Selected",21
"16","Bij ouders",8,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",NA,NA,"zeer belangrijk","belangrijk","belangrijk","onbelangrijk","zeer belangrijk","neutraal","onbelangrijk","past wel","past wel","past niet","past niet","past niet","vrouw",1995,700,"Facility Management","                                                                                                                                                                                                                                                          ",NA,22
"17","Bij ouders",9,"nee","langer dan 90 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,"zeer belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","neutraal","past niet","past niet","past niet","past niet","past niet","vrouw",1997,200,"Facility Management","Nee                                                                                                                                                                                                                                                       ",NA,20
"18","Bij ouders",9,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,800,"belangrijk","neutraal","onbelangrijk","neutraal","onbelangrijk","onbelangrijk","belangrijk","past wel","past wel","past niet","past volledig","past enigszins","vrouw",1998,550,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"19","Bij ouders",10,"nee","61-90 min.",7,"mijn huidige woonruimte is prima                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","belangrijk","neutraal","past enigszins","past wel","past enigszins","past wel","past wel","vrouw",1998,150,"Human Resource Management","nee                                                                                                                                                                                                                                                       ",NA,19
"20","Bij ouders",10,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",10,350,"neutraal","zeer onbelangrijk","neutraal","zeer onbelangrijk","belangrijk","neutraal","neutraal","past enigszins","past wel","past volledig","past helemaal niet","past wel","vrouw",1996,300,"Facility Management","n.v.t.                                                                                                                                                                                                                                                    ","Selected",21
"21","Bij ouders",10,"nee","41-60 min.",7,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",15,400,"belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","past wel","past volledig","past enigszins","past niet","past wel","vrouw",1998,450,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"22","Bij ouders",10,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,"belangrijk","neutraal","zeer belangrijk","neutraal","neutraal","zeer belangrijk","neutraal","past wel","past enigszins","past wel","past niet","past niet","vrouw",1996,500,"Facility Management","                                                                                                                                                                                                                                                          ",NA,21
"23","Bij ouders",10,"nee","61-90 min.",9,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",20,400,"zeer belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past enigszins","past wel","past helemaal niet","vrouw",1996,600,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected",21
"24","Bij ouders",10,"nee","41-60 min.",5,"                                                                                                                                                                                                                                                          ","ja, zeer korte termijn",30,600,"belangrijk","belangrijk","zeer belangrijk","neutraal","neutraal","belangrijk","onbelangrijk","past helemaal niet","past helemaal niet","past enigszins","past helemaal niet","past niet","vrouw",1994,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",23
"25","Bij ouders",11,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",15,300,"zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","belangrijk","neutraal","onbelangrijk","past niet","past niet","past wel","past volledig","past niet","vrouw",1995,650,"Facility Management","dat het irritant is dat je een google account moet hebben.                                                                                                                                                                                                ","Selected",22
"26","Bij ouders",12,"nee","langer dan 90 min.",9,"Ik ben nog tevreden thuis                                                                                                                                                                                                                                 ","weet ik  (nog)  niet",12,300,"belangrijk","onbelangrijk","onbelangrijk","belangrijk","belangrijk","neutraal","neutraal","past wel","past enigszins","past enigszins","past niet","past wel","vrouw",1998,150,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"27","Bij ouders",12,"nee","langer dan 90 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",9,350,"zeer belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","belangrijk","past enigszins","past wel","past niet","past enigszins","past wel","vrouw",1997,200,"Logistiek","Nee                                                                                                                                                                                                                                                       ","Selected",20
"28","Bij ouders",12,"nee","61-90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",20,500,"belangrijk","belangrijk","zeer belangrijk","neutraal","zeer belangrijk","belangrijk","onbelangrijk","past wel","past enigszins","past wel","past wel","past enigszins","vrouw",1996,300,"Facility Management","Sommige dingen waren onduidelijk, zoals het gemiddelde van de huurpijs                                                                                                                                                                                    ","Selected",21
"29","Bij ouders",12,"nee","61-90 min.",6,"Ik woon erg ver van school vandaan, waardoor ik lang moet reizen                                                                                                                                                                                          ","weet ik  (nog)  niet",10,400,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","neutraal","past wel","past wel","past enigszins","past enigszins","past wel","vrouw",1998,450,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"30","Bij ouders",12,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",14,600,"belangrijk","neutraal","onbelangrijk","onbelangrijk","zeer belangrijk","neutraal","neutraal","past wel","past enigszins","past volledig","past wel","past niet","vrouw",1998,500,"Facility Management","Er wordt vanuit gegaan dat je een maandelijks inkomen hebt, niet iedereen heeft dat.                                                                                                                                                                      ","Selected",19
"31","Bij ouders",12,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",16,300,"zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","past niet","past niet","past wel","past niet","past wel","vrouw",1997,900,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"32","Bij ouders",12,"ja","minder dan 10 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",15,300,"zeer belangrijk","neutraal","belangrijk","belangrijk","zeer belangrijk","belangrijk","neutraal","past niet","past niet","past niet","past enigszins","past wel","vrouw",1994,900,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",23
"33","Bij ouders",12,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",15,500,"belangrijk","neutraal","zeer belangrijk","onbelangrijk","zeer belangrijk","zeer belangrijk","neutraal","past niet","past enigszins","past volledig","past niet","past volledig","vrouw",1993,900,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",24
"34","Bij ouders",12,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",12,300,"zeer belangrijk","neutraal","belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer onbelangrijk","past wel","past helemaal niet","past volledig","past niet","past niet","vrouw",1995,1000,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",22
"35","Bij ouders",12,"nee","41-60 min.",7,"nee                                                                                                                                                                                                                                                       ","nee, voorlopig niet van pan",20,450,"belangrijk","belangrijk","zeer belangrijk","onbelangrijk","zeer belangrijk","zeer belangrijk","neutraal","past enigszins","past helemaal niet","past enigszins","past helemaal niet","past enigszins","vrouw",1997,1100,"Human Resource Management","nee                                                                                                                                                                                                                                                       ","Selected",20
"36","Bij ouders",12,"nee","41-60 min.",7,"De verbinding naar school toe is erg fijn. Vanaf station heyendaal is het maar 5 minuutjes lopen                                                                                                                                                          ","ja, over meer dan 1 jaar",NA,400,"zeer belangrijk","neutraal","belangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past niet","past enigszins","past enigszins","past wel","vrouw",1995,1200,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",22
"37","Bij ouders",13,"nee","41-60 min.",10,"-                                                                                                                                                                                                                                                         ","weet ik  (nog)  niet",15,350,"zeer belangrijk","neutraal","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","neutraal","past wel","past wel","past wel","past wel","past wel","vrouw",1996,250,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",21
"38","Bij ouders",14,"nee","langer dan 90 min.",8,"Huidige woonsituatie erg tevreden, huidige woonsituatie tot afstand school erg ontevreden.                                                                                                                                                                ","ja, over meer dan 1 jaar",25,600,"belangrijk","belangrijk","zeer belangrijk","zeer belangrijk","neutraal","neutraal","zeer onbelangrijk","past niet","past niet","past niet","past niet","past niet","vrouw",1996,250,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"39","Bij ouders",14,"nee","41-60 min.",7,"Ik vind het prima om nog thuis te wonen.                                                                                                                                                                                                                  ","ja, over meer dan 1 jaar",16,300,"belangrijk","belangrijk","belangrijk","neutraal","belangrijk","zeer onbelangrijk","zeer onbelangrijk","past niet","past wel","past enigszins","past helemaal niet","past enigszins","vrouw",1995,280,"Facility Management","Sommige kon ik niet invullen maar dat was wel verplicht                                                                                                                                                                                                   ","Selected",22
"40","Bij ouders",14,"ja","minder dan 10 min.",10,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",14,450,"belangrijk","neutraal","neutraal","neutraal","belangrijk","onbelangrijk","onbelangrijk","past enigszins","past niet","past wel","past niet","past enigszins","vrouw",1997,450,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"41","Bij ouders",14,"nee","61-90 min.",6,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",14,500,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","past wel","past enigszins","past enigszins","past niet","past enigszins","vrouw",1997,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"42","Bij ouders",15,"ja","61-90 min.",7,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",14,300,"zeer belangrijk","belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","zeer belangrijk","past wel","past enigszins","past wel","past niet","past enigszins","vrouw",1997,150,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"43","Bij ouders",15,"nee","21-40 min.",9,"Ik vind het fijn dat ik nog thuis kan wonen, ook de reistijd valt reuze mee en zo heb ik nog tijd voor hobby's en andere dingen.                                                                                                                          ","nee, voorlopig niet van pan",15,350,"zeer belangrijk","belangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past volledig","past enigszins","past enigszins","vrouw",1995,383,"Facility Management","Goed te beantwoorden vragen en goede toelichting boven de vragen.                                                                                                                                                                                         ","Selected",22
"44","Bij ouders",15,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",12,350,"zeer belangrijk","belangrijk","belangrijk","onbelangrijk","belangrijk","belangrijk","neutraal","past niet","past wel","past helemaal niet","past wel","past niet","vrouw",1998,400,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",19
"45","Bij ouders",15,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",12,350,"zeer belangrijk","neutraal","belangrijk","neutraal","belangrijk","neutraal","belangrijk","past wel","past wel","past niet","past enigszins","past enigszins","vrouw",1997,400,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"46","Bij ouders",15,"nee","41-60 min.",7,"Het lijkt me leuk om alleen te gaan wonen en mijn woonplaats is toch best ver weg van mijn school. Het is aan de andere kant ook leuk om met mijn familie nog thuis te wonen en het geeft geen kosten.                                                    ","ja, over een  half jaar tot een jaar",18,360,"neutraal","neutraal","neutraal","onbelangrijk","neutraal","belangrijk","neutraal","past niet","past enigszins","past helemaal niet","past helemaal niet","past wel","vrouw",1998,482,"Human Resource Management","Interessante enquête                                                                                                                                                                                                                                     ","Selected",19
"47","Bij ouders",15,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,400,"belangrijk","onbelangrijk","neutraal","onbelangrijk","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past wel","past niet","past enigszins","vrouw",1996,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"48","Bij ouders",15,"nee","61-90 min.",9,"Heb het wel goed bij mn ouders                                                                                                                                                                                                                            ","ja, over een  half jaar tot een jaar",25,700,"neutraal","neutraal","belangrijk","neutraal","belangrijk","belangrijk","belangrijk","past niet","past enigszins","past niet","past volledig","past enigszins","vrouw",1998,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"49","Bij ouders",15,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, zeer korte termijn",15,400,"neutraal","onbelangrijk","belangrijk","onbelangrijk","zeer belangrijk","neutraal","neutraal","past volledig","past helemaal niet","past niet","past helemaal niet","past wel","vrouw",1996,550,"Facility Management","Nvt                                                                                                                                                                                                                                                       ","Selected",21
"50","Bij ouders",15,"nee","61-90 min.",7,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",18,400,"belangrijk","onbelangrijk","onbelangrijk","neutraal","zeer belangrijk","neutraal","neutraal","past wel","past helemaal niet","past enigszins","past wel","past helemaal niet","vrouw",1997,650,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"51","Bij ouders",15,"nee","41-60 min.",8,"Ik woon bij me ouders dus is goed maar zou wel graag uit huis willen                                                                                                                                                                                      ","ja, binnen half jaar",20,750,"belangrijk","neutraal","belangrijk","belangrijk","zeer belangrijk","belangrijk","neutraal","past enigszins","past helemaal niet","past wel","past helemaal niet","past helemaal niet","vrouw",1994,800,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",23
"52","Bij ouders",16,"ja","61-90 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",20,375,"zeer belangrijk","neutraal","belangrijk","belangrijk","zeer belangrijk","belangrijk","neutraal","past wel","past niet","past volledig","past niet","past niet","vrouw",1997,110,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"53","Bij ouders",16,"nee","langer dan 90 min.",7,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",10,350,"belangrijk","neutraal","neutraal","onbelangrijk","zeer belangrijk","zeer belangrijk","neutraal","past wel","past volledig","past helemaal niet","past enigszins","past volledig","vrouw",1997,300,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",20
"54","Bij ouders",16,"ja","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,200,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","neutraal","onbelangrijk","past niet","past enigszins","past wel","past helemaal niet","past niet","vrouw",1997,400,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",20
"55","Bij ouders",16,"nee","41-60 min.",8,"Overal dichtbij                                                                                                                                                                                                                                           ","ja, binnen half jaar",30,450,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","past wel","past niet","past wel","past helemaal niet","past wel","vrouw",1997,400,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",20
"56","Bij ouders",16,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",15,350,"belangrijk","onbelangrijk","neutraal","zeer onbelangrijk","zeer belangrijk","neutraal","neutraal","past wel","past wel","past niet","past enigszins","past volledig","vrouw",1997,500,"Human Resource Management","De enquete zou beter zijn wanneer er bij sommige vragen de mogelijkheid niet van toepassing erbij staat.                                                                                                                                                  ","Selected",20
