"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"254","Op kamers (gedeeld gebruik san. en/of keuken)",16,"ja","10-20 min.",7,"Prima huis alleen wat oud                                                                                                                                                                                                                                 ","ja, over meer dan 1 jaar",15,450,"belangrijk","onbelangrijk","neutraal","neutraal","zeer belangrijk","zeer belangrijk","belangrijk","past wel","past enigszins","past enigszins","past enigszins","past enigszins","man",1997,1200,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",20
"255","Op kamers (gedeeld gebruik san. en/of keuken)",16,"ja","minder dan 10 min.",8,"Alles is redelijk dichtbij.                                                                                                                                                                                                                               ","nee, voorlopig niet van pan",18,435,"zeer belangrijk","belangrijk","neutraal","belangrijk","belangrijk","neutraal","onbelangrijk","past enigszins","past wel","past enigszins","past helemaal niet","past wel","man",1997,1016,"Human Resource Management","Het is niet echt privé als je gaat vragen naar klas en onderzoeksgroep en geboortedatum.                                                                                                                                                                 ","Selected",20
"256","Op kamers (gedeeld gebruik san. en/of keuken)",18,"ja","minder dan 10 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",15,325,"neutraal","belangrijk","neutraal","neutraal","belangrijk","belangrijk","belangrijk","past wel","past enigszins","past niet","past helemaal niet","past enigszins","man",1994,950,"Human Resource Management","-                                                                                                                                                                                                                                                         ","Selected",23
"257","Op kamers (gedeeld gebruik san. en/of keuken)",18,"ja","10-20 min.",7,"i heb alles wat ik nodig heb, wel primitief en weinig luxe, verder ben ik blij dat ik met 2 vrienden samen woon                                                                                                                                           ","nee, voorlopig niet van pan",16,390,"neutraal","onbelangrijk","neutraal","belangrijk","zeer belangrijk","neutraal","neutraal","past wel","past wel","past wel","past niet","past wel","man",1996,600,"Human Resource Management","Redelijke enquete, de studentenwoning vragen waren soms wat lang en daar wilde ik zo snel mogelijk door heen                                                                                                                                              ","Selected",21
"258","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","minder dan 10 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,400,"neutraal","neutraal","neutraal","onbelangrijk","neutraal","neutraal","belangrijk","past wel","past niet","past niet","past niet","past wel","man",1994,500,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",23
"259","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","minder dan 10 min.",9,"Ik huur het appartement via de vader van een goede vriend. Hierdoor zijn er relaxte omstandigheden in het huis. Vrij om alles te doen.                                                                                                                    ","nee, voorlopig niet van pan",18,400,"neutraal","belangrijk","belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","past wel","past niet","past wel","past helemaal niet","past wel","man",1995,800,"Human Resource Management","Duidelijke vragen en makkelijk in te vullen.                                                                                                                                                                                                              ","Selected",22
"260","Op kamers (gedeeld gebruik san. en/of keuken)",24,"ja","10-20 min.",7,"het zou een 10 zijn zonder muizen in de keuken.                                                                                                                                                                                                           ","weet ik  (nog)  niet",20,450,"belangrijk","belangrijk","neutraal","neutraal","zeer belangrijk","zeer belangrijk","neutraal","past volledig","past wel","past wel","past niet","past volledig","man",1994,1250,"Facility Management","nope                                                                                                                                                                                                                                                      ","Selected",23
"261","Op kamers (gedeeld gebruik san. en/of keuken)",26,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,460,"belangrijk","belangrijk","neutraal","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past wel","past wel","past niet","past niet","past wel","man",1996,700,"Facility Management","nee.                                                                                                                                                                                                                                                      ","Selected",21
"262","Eenkamerwoning met eigen voorzieningen",18,"ja","minder dan 10 min.",8,"gezellig huis                                                                                                                                                                                                                                             ","ja, zeer korte termijn",15,400,"belangrijk","onbelangrijk","zeer belangrijk","neutraal","zeer belangrijk","neutraal","belangrijk","past volledig","past enigszins","past volledig","past helemaal niet","past enigszins","man",1990,1400,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",27
"263","zelfstandige huurwoning",25,"ja","10-20 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",50,850,"zeer belangrijk","belangrijk","zeer belangrijk","belangrijk","zeer belangrijk","neutraal","onbelangrijk","past helemaal niet","past helemaal niet","past wel","past helemaal niet","past helemaal niet","man",1992,2000,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",25
